ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2024,Elec- Agricultural,Y,0,0,
93101,2,2024,Elec- Agricultural,Y,0,0,
93101,3,2024,Elec- Agricultural,Y,0,0,
93110,1,2024,Elec- Agricultural,Y,0,0,
93110,2,2024,Elec- Agricultural,Y,0,0,
93110,3,2024,Elec- Agricultural,Y,0,0,
93117,1,2024,Elec- Agricultural,Y,0,0,
93117,2,2024,Elec- Agricultural,Y,0,0,
93117,3,2024,Elec- Agricultural,Y,0,0,
93202,1,2024,Elec- Agricultural,Y,0,0,
93202,2,2024,Elec- Agricultural,Y,0,0,
93202,3,2024,Elec- Agricultural,Y,0,0,
93203,1,2024,Elec- Agricultural,Y,0,0,
93203,2,2024,Elec- Agricultural,Y,0,0,
93203,3,2024,Elec- Agricultural,Y,0,0,
93204,1,2024,Elec- Agricultural,Y,0,0,
93204,2,2024,Elec- Agricultural,Y,0,0,
93204,3,2024,Elec- Agricultural,Y,0,0,
93206,1,2024,Elec- Agricultural,Y,0,0,
93206,2,2024,Elec- Agricultural,Y,0,0,
93206,3,2024,Elec- Agricultural,Y,0,0,
93210,1,2024,Elec- Agricultural,Y,0,0,
93210,2,2024,Elec- Agricultural,Y,0,0,
93210,3,2024,Elec- Agricultural,N,105,"3,696,746","35,207"
93212,1,2024,Elec- Agricultural,Y,245,"4,847,488","19,786"
93212,2,2024,Elec- Agricultural,Y,246,"5,092,344","20,701"
93212,3,2024,Elec- Agricultural,Y,335,"12,499,093","37,311"
93215,1,2024,Elec- Agricultural,Y,0,0,
93215,2,2024,Elec- Agricultural,Y,0,0,
93215,3,2024,Elec- Agricultural,Y,0,0,
93219,1,2024,Elec- Agricultural,Y,0,0,
93219,2,2024,Elec- Agricultural,Y,0,0,
93219,3,2024,Elec- Agricultural,Y,0,0,
93224,1,2024,Elec- Agricultural,Y,0,0,
93224,2,2024,Elec- Agricultural,Y,0,0,
93224,3,2024,Elec- Agricultural,Y,0,0,
93225,1,2024,Elec- Agricultural,Y,0,0,
93225,2,2024,Elec- Agricultural,Y,0,0,
93225,3,2024,Elec- Agricultural,Y,0,0,
93230,1,2024,Elec- Agricultural,Y,389,"5,234,315","13,456"
93230,2,2024,Elec- Agricultural,Y,393,"5,217,826","13,277"
93230,3,2024,Elec- Agricultural,Y,393,"9,376,230","23,858"
93234,1,2024,Elec- Agricultural,Y,0,0,
93234,2,2024,Elec- Agricultural,Y,260,"5,605,074","21,558"
93234,3,2024,Elec- Agricultural,Y,0,0,
93239,1,2024,Elec- Agricultural,Y,0,0,
93239,2,2024,Elec- Agricultural,Y,0,0,
93239,3,2024,Elec- Agricultural,Y,0,0,
93241,1,2024,Elec- Agricultural,Y,0,0,
93241,2,2024,Elec- Agricultural,Y,0,0,
93241,3,2024,Elec- Agricultural,Y,0,0,
93242,1,2024,Elec- Agricultural,Y,0,0,
93242,2,2024,Elec- Agricultural,Y,0,0,
93242,3,2024,Elec- Agricultural,Y,0,0,
93243,1,2024,Elec- Agricultural,Y,0,0,
93243,2,2024,Elec- Agricultural,Y,0,0,
93243,3,2024,Elec- Agricultural,Y,0,0,
93245,1,2024,Elec- Agricultural,Y,821,"6,239,735","7,600"
93245,2,2024,Elec- Agricultural,Y,498,"2,240,121","4,498"
93245,3,2024,Elec- Agricultural,Y,562,"4,205,522","7,483"
93249,1,2024,Elec- Agricultural,Y,0,0,
93249,2,2024,Elec- Agricultural,Y,0,0,
93249,3,2024,Elec- Agricultural,Y,0,0,
93250,1,2024,Elec- Agricultural,Y,0,0,
93250,2,2024,Elec- Agricultural,Y,0,0,
93250,3,2024,Elec- Agricultural,Y,156,"1,838,641","11,786"
93251,1,2024,Elec- Agricultural,Y,0,0,
93251,2,2024,Elec- Agricultural,Y,0,0,
93251,3,2024,Elec- Agricultural,Y,0,0,
93252,1,2024,Elec- Agricultural,Y,0,0,
93252,2,2024,Elec- Agricultural,Y,0,0,
93252,3,2024,Elec- Agricultural,Y,0,0,
93254,1,2024,Elec- Agricultural,Y,0,0,
93254,2,2024,Elec- Agricultural,Y,0,0,
93254,3,2024,Elec- Agricultural,Y,0,0,
93256,1,2024,Elec- Agricultural,Y,0,0,
93256,2,2024,Elec- Agricultural,Y,0,0,
93256,3,2024,Elec- Agricultural,Y,0,0,
93262,1,2024,Elec- Agricultural,Y,0,0,
93262,2,2024,Elec- Agricultural,Y,0,0,
93262,3,2024,Elec- Agricultural,Y,0,0,
93263,1,2024,Elec- Agricultural,Y,0,0,
93263,2,2024,Elec- Agricultural,Y,665,"11,012,413","16,560"
93263,3,2024,Elec- Agricultural,Y,420,"16,554,297","39,415"
93266,1,2024,Elec- Agricultural,Y,0,0,
93266,2,2024,Elec- Agricultural,Y,0,0,
93266,3,2024,Elec- Agricultural,Y,0,0,
93268,1,2024,Elec- Agricultural,Y,0,0,
93268,2,2024,Elec- Agricultural,Y,0,0,
93268,3,2024,Elec- Agricultural,Y,0,0,
93272,1,2024,Elec- Agricultural,Y,0,0,
93272,2,2024,Elec- Agricultural,Y,0,0,
93272,3,2024,Elec- Agricultural,Y,0,0,
93274,1,2024,Elec- Agricultural,Y,0,0,
93274,2,2024,Elec- Agricultural,Y,0,0,
93274,3,2024,Elec- Agricultural,Y,0,0,
93276,1,2024,Elec- Agricultural,Y,0,0,
93276,2,2024,Elec- Agricultural,Y,0,0,
93276,3,2024,Elec- Agricultural,Y,0,0,
93277,1,2024,Elec- Agricultural,Y,0,0,
93277,2,2024,Elec- Agricultural,Y,0,0,
93277,3,2024,Elec- Agricultural,Y,0,0,
93280,1,2024,Elec- Agricultural,Y,686,"11,537,951","16,819"
93280,2,2024,Elec- Agricultural,Y,426,"11,336,152","26,611"
93280,3,2024,Elec- Agricultural,Y,380,"18,621,220","49,003"
93286,1,2024,Elec- Agricultural,Y,0,0,
93286,2,2024,Elec- Agricultural,Y,0,0,
93286,3,2024,Elec- Agricultural,Y,0,0,
93291,1,2024,Elec- Agricultural,Y,0,0,
93291,2,2024,Elec- Agricultural,Y,0,0,
93291,3,2024,Elec- Agricultural,Y,0,0,
93292,1,2024,Elec- Agricultural,Y,0,0,
93292,2,2024,Elec- Agricultural,Y,0,0,
93292,3,2024,Elec- Agricultural,Y,0,0,
93301,1,2024,Elec- Agricultural,Y,0,0,
93301,2,2024,Elec- Agricultural,Y,0,0,
93301,3,2024,Elec- Agricultural,Y,0,0,
93304,1,2024,Elec- Agricultural,Y,0,0,
93304,2,2024,Elec- Agricultural,Y,0,0,
93304,3,2024,Elec- Agricultural,Y,181,"1,344,130","7,426"
93305,1,2024,Elec- Agricultural,Y,0,0,
93305,2,2024,Elec- Agricultural,Y,0,0,
93305,3,2024,Elec- Agricultural,Y,0,0,
93306,1,2024,Elec- Agricultural,Y,0,0,
93306,2,2024,Elec- Agricultural,Y,0,0,
93306,3,2024,Elec- Agricultural,Y,0,0,
93307,1,2024,Elec- Agricultural,Y,"1,732","24,389,082","14,081"
93307,2,2024,Elec- Agricultural,Y,"1,686","17,784,785","10,549"
93307,3,2024,Elec- Agricultural,Y,527,"11,079,740","21,024"
93308,1,2024,Elec- Agricultural,Y,0,0,
93308,2,2024,Elec- Agricultural,Y,0,0,
93308,3,2024,Elec- Agricultural,Y,136,"1,382,794","10,168"
93309,1,2024,Elec- Agricultural,Y,0,0,
93309,2,2024,Elec- Agricultural,Y,0,0,
93309,3,2024,Elec- Agricultural,Y,0,0,
93311,1,2024,Elec- Agricultural,Y,0,0,
93311,2,2024,Elec- Agricultural,Y,0,0,
93311,3,2024,Elec- Agricultural,Y,0,0,
93312,1,2024,Elec- Agricultural,Y,0,0,
93312,2,2024,Elec- Agricultural,Y,0,0,
93312,3,2024,Elec- Agricultural,Y,0,0,
93313,1,2024,Elec- Agricultural,Y,0,0,
93313,2,2024,Elec- Agricultural,Y,0,0,
93313,3,2024,Elec- Agricultural,Y,337,"8,506,155","25,241"
93314,1,2024,Elec- Agricultural,Y,0,0,
93314,2,2024,Elec- Agricultural,Y,0,0,
93314,3,2024,Elec- Agricultural,Y,0,0,
93401,1,2024,Elec- Agricultural,Y,0,0,
93401,2,2024,Elec- Agricultural,Y,0,0,
93401,3,2024,Elec- Agricultural,Y,0,0,
93402,1,2024,Elec- Agricultural,Y,0,0,
93402,2,2024,Elec- Agricultural,Y,0,0,
93402,3,2024,Elec- Agricultural,Y,0,0,
93405,1,2024,Elec- Agricultural,Y,63,"56,694",900
93405,2,2024,Elec- Agricultural,Y,0,0,
93405,3,2024,Elec- Agricultural,Y,0,0,
93420,1,2024,Elec- Agricultural,Y,907,"7,484,484","8,252"
93420,2,2024,Elec- Agricultural,Y,"1,771","6,949,949","3,924"
93420,3,2024,Elec- Agricultural,Y,"1,927","12,206,180","6,334"
93422,1,2024,Elec- Agricultural,Y,0,0,
93422,2,2024,Elec- Agricultural,Y,0,0,
